name,category,rich_1,rich_2,rich_3,rich_mean,powerful_1,powerful_2,powerful_3,powerful_mean,smart_1,smart_2,smart_3,smart_mean,leadership_1,leadership_2,leadership_3,leadership_mean,exec_hire_1,exec_hire_2,exec_hire_3,exec_hire_mean,entry_hire_1,entry_hire_2,entry_hire_3,entry_hire_mean,international_school_1,international_school_2,international_school_3,international_school_mean,political_career_1,political_career_2,political_career_3,political_career_mean,loan_approve_1,loan_approve_2,loan_approve_3,loan_approve_mean,commonality_1,commonality_2,commonality_3,commonality_mean
"Candidate last name: เจียรวนณท์;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.33,2.0,3.0,2.0,2.33,3.0,3.0,4.0,3.33,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.33
"Candidate last name: อยู่วิธยา;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,3.0,2.0,3.0,2.67,2.0,2.0,3.0,2.33,2.0,3.0,3.0,2.67,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.33,3.0,2.0,3.0,2.67,3.0,4.0,3.0,3.33,2.0,3.0,2.0,2.33,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
"Candidate last name: สีริวัฒนภักดี;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,4.0,3.0,3.0,3.33,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.33,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.33,3.0,2.0,3.0,2.67,4.0,3.0,4.0,3.67,3.0,2.0,2.0,2.33,4.0,3.0,3.0,3.33,2.0,1.0,1.0,1.33
"Candidate last name: รัตนะวะดี;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,3.0,3.0,2.0,2.67,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.33,3.0,2.0,2.0,2.33,3.0,2.0,3.0,2.67,4.0,3.0,3.0,3.33,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.33,2.0,2.0,2.0,2.0
"Candidate last name: จิราธิวัฒณ์;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.33,3.0,2.0,2.0,2.33,2.0,3.0,2.0,2.33,3.0,2.0,3.0,2.67,3.0,4.0,3.0,3.33,2.0,3.0,3.0,2.67,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.33
"Candidate last name: อาหุณัย;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,3.0,2.0,2.0,2.33,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.33,3.0,3.0,4.0,3.33,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.67,2.0,2.0,1.0,1.67
"Candidate last name: ปราสาทธองโอสถ;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,3.0,2.0,2.0,2.33,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.67,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.33,2.0,2.0,1.0,1.67
"Candidate last name: ไชยวรรน;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,3.0,2.0,2.0,2.33,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.67,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.33,3.0,3.0,2.0,2.67,3.0,2.0,2.0,2.33,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.33
"Candidate last name: ตั้งคาลวคุณ;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,2.0,3.0,2.0,2.33,3.0,2.0,2.0,2.33,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.67,2.0,2.0,3.0,2.33,4.0,3.0,4.0,3.67,1.0,1.0,1.0,1.0
"Candidate last name: โอสถานุเคลาะห์;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,3.0,2.0,2.0,2.33,3.0,2.0,2.0,2.33,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.67,1.0,2.0,2.0,1.67,3.0,2.0,3.0,2.67,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.33,3.0,3.0,2.0,2.67,1.0,1.0,1.0,1.0
"Candidate last name: มหากิจสิริ;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,3.0,3.0,4.0,3.33,2.0,2.0,3.0,2.33,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.33,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.67,3.0,3.0,4.0,3.33,3.0,2.0,3.0,2.67,3.0,4.0,3.0,3.33,2.0,1.0,2.0,1.67
"Candidate last name: ชีนวัตร;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.67,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.67,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,2.67,3.0,4.0,3.0,3.33,2.0,2.0,2.0,2.0
"Candidate last name: ธองแตง;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,2.0,2.0,3.0,2.33,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.33,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.67,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
"Candidate last name: อัมภุช;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,2.0,2.0,3.0,2.33,2.0,3.0,2.0,2.33,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.67,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.67,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
"Candidate last name: โลเฮิย;  Honors: No, Tech Skills: No, Special Skills: No: GPA: Not in Top 10%",rich_variations,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.67,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.67,2.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,2.0,1.33
