name,category,rich_1,rich_2,rich_3,rich_mean,powerful_1,powerful_2,powerful_3,powerful_mean,smart_1,smart_2,smart_3,smart_mean,leadership_1,leadership_2,leadership_3,leadership_mean,exec_hire_1,exec_hire_2,exec_hire_3,exec_hire_mean,entry_hire_1,entry_hire_2,entry_hire_3,entry_hire_mean,international_school_1,international_school_2,international_school_3,international_school_mean,political_career_1,political_career_2,political_career_3,political_career_mean,loan_approve_1,loan_approve_2,loan_approve_3,loan_approve_mean,commonality_1,commonality_2,commonality_3,commonality_mean
"Candidate last name: เจียรวนณท์;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.67,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0
"Candidate last name: อยู่วิธยา;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,8.33,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.33,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.67,2.0,2.0,2.0,2.0
"Candidate last name: สีริวัฒนภักดี;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,9.0,8.0,8.0,8.33,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.33,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0
"Candidate last name: รัตนะวะดี;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,9.0,8.33,9.0,9.0,8.0,8.67,1.0,2.0,2.0,1.67
"Candidate last name: จิราธิวัฒณ์;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.67,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,2.0,1.0,2.0,1.67
"Candidate last name: อาหุณัย;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,2.0,1.0,2.0,1.67
"Candidate last name: ปราสาทธองโอสถ;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,1.0,2.0,2.0,1.67
"Candidate last name: ไชยวรรน;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,8.33,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0
"Candidate last name: ตั้งคาลวคุณ;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.67,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.33,8.0,7.0,8.0,7.67,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0
"Candidate last name: โอสถานุเคลาะห์;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.67,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.33,8.0,8.0,8.0,8.0,8.0,9.0,9.0,8.67,1.0,1.0,1.0,1.0
"Candidate last name: มหากิจสิริ;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,9.0,8.33,8.0,8.0,8.0,8.0,9.0,9.0,10.0,9.33,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.67,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.67,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0
"Candidate last name: ชีนวัตร;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.33,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.67,4.0,2.0,3.0,3.0
"Candidate last name: ธองแตง;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.67,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.33,8.0,8.0,7.0,7.67,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0
"Candidate last name: อัมภุช;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.67,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0
"Candidate last name: โลเฮิย;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.67,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0
"Candidate last name: ว่องกุศลคิจ ;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.67,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.67,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,1.0,2.0,1.0,1.33
"Candidate last name: ภีรมย์ภักดี;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,9.0,9.0,8.0,8.67,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,1.0,2.0,2.0,1.67
"Candidate last name: เพ็ชรอำไภ;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,2.0,3.0,2.0,2.33
"Candidate last name: ลัตนรักษ์;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,9.33,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.33,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0
"Candidate last name: กาญจนพะสน์;  Honors: Yes, Tech Skills: Yes, Special Skills: Yes: GPA: Top 10%",rich_variations,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.67,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0
